X-axis angular rate(°/s),Z-axis angular rate(°/s),Z-axis angular rate(°/s),X-axis acceleration(m/s2),Z-axis acceleration(m/s2),Y-axis acceleration(m/s2),Number of satellites,HDOP,GNSS North Velocity(m/s),GNSS UP Velocity(m/s),GNSS East Velocity(m/s),GNSS height(m),GNSS longitude(°),GNSS latitude(°),Barometer height(m),GNSS calculation of heading(°)
-0.016645,0.008764,0.016561,-0.145559,9.801298,0.017359,0,0,0,0,0,0,0,0,0,0
-0.036471,0.001661,-0.004401,-0.143643,9.799117,0.022548,0,0,0,0,0,0,0,0,0,0
-0.057826,-0.009678,-0.008179,-0.140905,9.797047,0.023842,0,0,0,0,0,0,0,0,0,0
-0.075197,-0.014039,-0.005957,-0.140674,9.792353,0.022451,0,0,0,0,0,0,0,0,0,0
-0.111328,-0.011527,0.001233,-0.141945,9.798783,0.0294,0,0,0,0,0,0,0,0,0,0
-0.123558,0.001845,0.015854,-0.145779,9.807925,0.039956,0,0,0,0,0,0,0,0,0,0
-0.091808,0.01193,0.019888,-0.139004,9.803832,0.053523,0,0,0,0,0,0,0,0,43.411484,-169.594864
-0.091547,0.008436,0.026132,-0.129584,9.793447,0.062304,0,0,0,0,0,0,0,0,43.411484,-169.594864
-0.099901,0.007713,0.052448,-0.126518,9.792531,0.067462,0,0,0,0,0,0,0,0,43.411484,-169.594864
-0.055277,0.011181,0.049009,-0.122586,9.792033,0.073403,0,0,0,0,0,0,0,0,43.411484,-169.594864
-0.025505,0.006766,0.020058,-0.123747,9.78511,0.076761,0,0,0,0,0,0,0,0,43.411484,-169.594864
0.003416,0.00018,0.002529,-0.129369,9.782303,0.073284,0,0,0,0,0,0,0,0,43.411484,-169.594864
0.037708,0.003986,-0.016017,-0.129399,9.784102,0.067061,0,0,0,0,0,0,0,0,43.411484,-169.594864
0.048429,0.016688,-0.020114,-0.128886,9.791533,0.06045,0,0,0,0,0,0,0,0,43.411484,-169.594864
0.054497,0.013631,-0.002766,-0.127452,9.803317,0.060097,0,0,0,0,0,0,0,0,43.411484,-169.594864
0.075733,0.013452,0.000949,-0.125079,9.809607,0.062016,0,0,0,0,0,0,0,0,43.411484,-169.594864
0.088018,0.02522,-0.000639,-0.128724,9.80506,0.052099,0,0,0,0,0,0,0,0,43.411484,-169.594864
0.085707,0.028964,0.005571,-0.131472,9.803285,0.043792,0,0,0,0,0,0,0,0,43.411484,-169.594864
0.080243,0.019213,0.001262,-0.133286,9.803565,0.039829,0,0,0,0,0,0,0,0,43.411484,-169.594864
0.08142,0.004283,-0.012443,-0.139874,9.796022,0.033014,0,0,0,0,0,0,0,0,43.411484,-169.594864
0.079963,0.002058,-0.028575,-0.14406,9.793337,0.022998,0,0,0,0,0,0,0,0,43.411484,-169.594864
